"Designator","Comment","Footprint","Qty","LCSC Part #"
"AE1","2450AT18A100E","OpenRX-Shared:ANT-SMD_L3.2-W1.6","1","C89334"
"C1,C3","15pF","Capacitor_SMD:C_0201_0603Metric","2","C85891"
"C4,C10,C15,C23,C25,C28","1uF","Capacitor_SMD:C_0201_0603Metric","6","C76935"
"C5,C6,C9,C12,C13,C14,C17","100nF","Capacitor_SMD:C_0201_0603Metric","7","C76939"
"C8,C16","10uF","Capacitor_SMD:C_0402_1005Metric","2","C15525"
"C11","10uF","Capacitor_SMD:C_0402_1005Metric","1","C76991"
"C19","1nF","Capacitor_SMD:C_0201_0603Metric","1","C66942"
"C20","470nF","Capacitor_SMD:C_0201_0603Metric","1","C85926"
"C21,C22","1.2pF","Capacitor_SMD:C_0201_0603Metric","2","C85895"
"C24,C26,C27","10nF","Capacitor_SMD:C_0201_0603Metric","3","C2168164"
"D1","XL-1010RGBC-WS2812B","OpenRX-Shared:LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B","1",""
"FL1","2450FM07D0034T","OpenRX-Shared:FILTER-SMD_4P-L1.0-W0.5-L","1",""
"J1","Conn_Coaxial","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","1",""
"L1","24nH","Inductor_SMD:L_0201_0603Metric","1","C206441"
"L2","2.5nH","Inductor_SMD:L_0201_0603Metric","1","C206435"
"L3","2.0nH","Inductor_SMD:L_0201_0603Metric","1","C86125"
"L4","15uH","Inductor_SMD:L_0805_2012Metric","1",""
"OSC1","OW7EL89CENUNFAYLC-52M","OpenRX-Shared:OSC-SMD_4P-L2.0-W1.6-BL_TXC_7Z","1","C22434896"
"R2,R3,R4,R5","10k","Resistor_SMD:R_0201_0603Metric","4","C106225"
"TP1","RX","OpenRX-Shared:SolderPad_1.2x2.0mm","1",""
"TP2","TX","OpenRX-Shared:SolderPad_1.2x2.0mm","1",""
"TP3","5V","OpenRX-Shared:SolderPad_1.2x2.0mm","1",""
"TP4","GND","OpenRX-Shared:SolderPad_1.2x2.0mm","1",""
"TP5","BOOT","OpenRX-Shared:SolderPad_1.2x2.0mm","1",""
"U1","ESP32-C3","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm","1",""
"U2","TLV75533PDQNR","OpenRX-Shared:X2SON-4_L1.0-W1.0-P0.65-TL-EP","1","C2861882"
"U3","SX1281IMLTRT","OpenRX-Shared:QFN-24_L4.0-W4.0-P0.50-TL-EP2.6","1","C2151551"
"X1","CJ17-400001010B20","OpenRX-Shared:CRYSTAL-SMD_4P-L1.6-W1.2-BL","1","C2875272"
