Designator,Mid X,Mid Y,Layer,Rotation
AE1,107.7000,-107.3500,bottom,0.00
C10,100.8500,-99.9500,bottom,0.00
C12,103.5000,-100.4000,bottom,-90.00
C13,102.1000,-105.7500,bottom,180.00
C14,103.2000,-106.3500,bottom,90.00
C15,102.1000,-100.9000,bottom,-90.00
C17,103.5000,-105.3000,bottom,180.00
C19,100.4500,-105.5000,bottom,90.00
C20,103.2000,-107.7500,bottom,-90.00
C21,106.2000,-106.0000,bottom,180.00
C22,109.0000,-106.0000,bottom,0.00
C26,100.9500,-104.1500,bottom,180.00
C27,100.9500,-103.4500,bottom,0.00
C28,103.3000,-102.7000,bottom,90.00
L2,107.6000,-106.0000,bottom,0.00
L4,104.6000,-107.1000,bottom,90.00
OSC1,101.4500,-107.4000,bottom,180.00
R3,103.1500,-101.4500,bottom,0.00
R4,102.8000,-100.4000,bottom,-90.00
R5,103.3000,-104.1000,bottom,-90.00
U1,106.9500,-102.5500,bottom,90.00
U2,100.9500,-100.9500,bottom,180.00
C1,109.6000,-106.6500,top,-90.00
C3,106.8000,-105.5500,top,90.00
C4,108.5500,-104.9000,top,180.00
C5,104.7500,-100.2500,top,-90.00
C6,105.7500,-102.9500,top,0.00
C8,100.6500,-100.5500,top,-90.00
C9,105.7500,-105.3000,top,0.00
C11,105.9400,-103.7900,top,0.00
C16,101.6000,-100.5500,top,-90.00
C23,105.4500,-100.2500,top,-90.00
C24,109.2500,-104.2000,top,180.00
C25,107.5000,-104.5500,top,90.00
D1,103.0500,-100.4500,top,0.00
FL1,103.4000,-101.9000,top,0.00
J1,108.1000,-101.7000,top,0.00
L1,109.6000,-105.2500,top,90.00
L3,105.7500,-104.6000,top,180.00
R2,101.3000,-101.9000,top,180.00
TP1,101.1840,-111.0000,top,0.00
TP2,103.7240,-111.0000,top,0.00
TP3,106.2700,-111.0000,top,0.00
TP4,108.8100,-111.0000,top,0.00
TP5,109.1600,-108.0500,top,0.00
U3,102.6000,-105.0500,top,0.00
X1,108.2000,-106.2000,top,180.00
