Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","2450AT18A100E","ANT-SMD_L3.2-W1.6",107.700000,-107.350000,0.000000,bottom
"C10","1uF","C_0201_0603Metric",100.850000,-99.950000,0.000000,bottom
"C12","100nF","C_0201_0603Metric",103.500000,-100.400000,-90.000000,bottom
"C13","100nF","C_0201_0603Metric",102.100000,-105.750000,180.000000,bottom
"C14","100nF","C_0201_0603Metric",103.200000,-106.350000,90.000000,bottom
"C15","1uF","C_0201_0603Metric",102.100000,-100.900000,-90.000000,bottom
"C17","100nF","C_0201_0603Metric",103.500000,-105.300000,180.000000,bottom
"C19","1nF","C_0201_0603Metric",100.450000,-105.500000,90.000000,bottom
"C20","470nF","C_0201_0603Metric",103.200000,-107.750000,-90.000000,bottom
"C21","1.2pF","C_0201_0603Metric",106.200000,-106.000000,180.000000,bottom
"C22","1.2pF","C_0201_0603Metric",109.000000,-106.000000,0.000000,bottom
"C26","10nF","C_0201_0603Metric",100.950000,-104.150000,180.000000,bottom
"C27","10nF","C_0201_0603Metric",100.950000,-103.450000,0.000000,bottom
"C28","1uF","C_0201_0603Metric",103.300000,-102.700000,90.000000,bottom
"L2","2.5nH","L_0201_0603Metric",107.600000,-106.000000,0.000000,bottom
"L4","15uH","L_0805_2012Metric",104.600000,-107.100000,90.000000,bottom
"OSC1","OW7EL89CENUNFAYLC-52M","OSC-SMD_4P-L2.0-W1.6-BL_TXC_7Z",101.450000,-107.400000,180.000000,bottom
"R3","10k","R_0201_0603Metric",103.150000,-101.450000,0.000000,bottom
"R4","10k","R_0201_0603Metric",102.800000,-100.400000,-90.000000,bottom
"R5","10k","R_0201_0603Metric",103.300000,-104.100000,-90.000000,bottom
"U1","ESP32-C3","QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm",106.950000,-102.550000,90.000000,bottom
"U2","TLV75533PDQNR","X2SON-4_L1.0-W1.0-P0.65-TL-EP",100.950000,-100.950000,180.000000,bottom
"C1","15pF","C_0201_0603Metric",109.600000,-106.650000,-90.000000,top
"C3","15pF","C_0201_0603Metric",106.800000,-105.550000,90.000000,top
"C4","1uF","C_0201_0603Metric",108.550000,-104.900000,180.000000,top
"C5","100nF","C_0201_0603Metric",104.750000,-100.250000,-90.000000,top
"C6","100nF","C_0201_0603Metric",105.750000,-102.950000,0.000000,top
"C8","10uF","C_0402_1005Metric",100.650000,-100.550000,-90.000000,top
"C9","100nF","C_0201_0603Metric",105.750000,-105.300000,0.000000,top
"C11","10uF","C_0402_1005Metric",105.940000,-103.790000,0.000000,top
"C16","10uF","C_0402_1005Metric",101.600000,-100.550000,-90.000000,top
"C23","1uF","C_0201_0603Metric",105.450000,-100.250000,-90.000000,top
"C24","10nF","C_0201_0603Metric",109.250000,-104.200000,180.000000,top
"C25","1uF","C_0201_0603Metric",107.500000,-104.550000,90.000000,top
"D1","XL-1010RGBC-WS2812B","LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B",103.050000,-100.450000,0.000000,top
"FL1","2450FM07D0034T","FILTER-SMD_4P-L1.0-W0.5-L",103.400000,-101.900000,0.000000,top
"J1","Conn_Coaxial","U.FL_Hirose_U.FL-R-SMT-1_Vertical",108.100000,-101.700000,0.000000,top
"L1","24nH","L_0201_0603Metric",109.600000,-105.250000,90.000000,top
"L3","2.0nH","L_0201_0603Metric",105.750000,-104.600000,180.000000,top
"R2","10k","R_0201_0603Metric",101.300000,-101.900000,180.000000,top
"TP1","RX","SolderPad_1.2x2.0mm",101.184048,-111.000000,0.000000,top
"TP2","TX","SolderPad_1.2x2.0mm",103.724048,-111.000000,0.000000,top
"TP3","5V","SolderPad_1.2x2.0mm",106.270000,-111.000000,0.000000,top
"TP4","GND","SolderPad_1.2x2.0mm",108.810000,-111.000000,0.000000,top
"TP5","BOOT","SolderPad_1.2x2.0mm",109.160000,-108.050000,0.000000,top
"U3","SX1281IMLTRT","QFN-24_L4.0-W4.0-P0.50-TL-EP2.6",102.600000,-105.050000,0.000000,top
"X1","CJ17-400001010B20","CRYSTAL-SMD_4P-L1.6-W1.2-BL",108.200000,-106.200000,180.000000,top
